file,speaker,turn_id,turn_start,turn_end,turn_duration_s,n_ips,n_vowels,speech_time_s,pause_time_s,n_pauses,mean_pause_s,speech_rate_vps,speaking_proportion,conf_median_ips
VAL_H2A_2020_00143,SPEAKER_01,6,1030.4858,1035.7158,5.23,2,32,4.82,0.41,1,0.41,6.119,0.922,
VAL_H2A_2020_00143,SPEAKER_00,7,1036.0068,1091.2718,55.265,22,267,41.356,13.909,21,0.6623,4.831,0.748,0.7664
VAL_H2A_2020_00144,SPEAKER_01,1,445.4342,521.2802,75.846,27,394,59.393,16.453,26,0.6328,5.195,0.783,0.7522
VAL_H2A_2020_00144,SPEAKER_00,2,522.7462,528.7192,5.973,2,39,5.522,0.451,1,0.451,6.529,0.924,
VAL_H2A_2020_00144,SPEAKER_01,3,529.0092,555.8562,26.847,11,146,20.538,6.309,10,0.6309,5.438,0.765,0.7934
VAL_H2A_2020_00144,SPEAKER_00,4,556.6962,559.4562,2.76,1,14,2.76,0.0,0,0.0,5.072,1.0,
VAL_H2A_2020_00144,SPEAKER_01,5,560.8792,576.8072,15.928,6,111,13.531,2.397,5,0.4794,6.969,0.85,0.6503
VAL_H2A_2020_00144,SPEAKER_00,6,577.8492,579.9392,2.09,1,18,2.09,0.0,0,0.0,8.612,1.0,
VAL_H2A_2020_00144,SPEAKER_01,7,581.0972,732.5652,151.468,48,805,116.893,34.575,47,0.7356,5.315,0.772,0.7043
VAL_H2A_2020_00144,SPEAKER_00,8,735.4792,739.4612,3.982,1,32,3.982,0.0,0,0.0,8.036,1.0,
VAL_H2A_2020_00144,SPEAKER_01,9,740.3602,795.2032,54.843,18,286,43.393,11.45,17,0.6735,5.215,0.791,0.6742
VAL_H2A_2020_00144,SPEAKER_00,10,796.6842,800.7472,4.063,3,6,2.583,1.48,2,0.74,1.477,0.636,
VAL_H2A_2020_00144,SPEAKER_01,11,800.9972,842.0002,41.003,12,209,34.756,6.247,11,0.5679,5.097,0.848,0.7125
VAL_H2A_2020_00144,SPEAKER_00,12,842.0402,845.2022,3.162,2,14,1.922,1.24,1,1.24,4.428,0.608,
VAL_H2A_2020_00144,SPEAKER_01,13,847.5642,888.6792,41.115,10,235,33.046,8.069,9,0.8966,5.716,0.804,0.6201
VAL_H2A_2020_00147,SPEAKER_01,1,483.8169,502.6229,18.806,7,78,15.876,2.93,6,0.4883,4.148,0.844,0.8096
VAL_H2A_2020_00147,SPEAKER_00,2,502.9439,505.0649,2.121,1,17,2.121,0.0,0,0.0,8.015,1.0,
VAL_H2A_2020_00147,SPEAKER_01,3,506.1459,509.9069,3.761,2,19,3.521,0.24,1,0.24,5.052,0.936,0.7012
VAL_H2A_2020_00147,SPEAKER_00,4,511.1129,514.8729,3.76,2,21,3.46,0.3,1,0.3,5.585,0.92,
VAL_H2A_2020_00147,SPEAKER_01,5,516.6339,542.4239,25.79,9,129,22.318,3.472,8,0.434,5.002,0.865,0.8106
VAL_H2A_2020_00147,SPEAKER_00,6,543.8239,547.5859,3.762,2,21,3.061,0.701,1,0.701,5.582,0.814,
VAL_H2A_2020_00147,SPEAKER_01,7,548.8269,596.7699,47.943,15,142,35.256,12.687,14,0.9062,2.962,0.735,0.7587
VAL_H2A_2020_00147,SPEAKER_00,8,597.6689,599.4699,1.801,1,14,1.801,0.0,0,0.0,7.773,1.0,
VAL_H2A_2020_00147,SPEAKER_01,9,600.3509,623.2839,22.933,9,101,18.278,4.655,8,0.5819,4.404,0.797,0.8463
VAL_H2A_2020_00147,SPEAKER_00,10,624.0139,628.1239,4.11,2,21,3.332,0.778,1,0.778,5.109,0.811,
VAL_H2A_2020_00147,SPEAKER_01,11,628.5649,663.9639,35.399,15,158,25.902,9.497,14,0.6784,4.463,0.732,0.8350
VAL_H2A_2020_00147,SPEAKER_00,12,664.4639,666.1939,1.73,1,8,1.73,0.0,0,0.0,4.624,1.0,
VAL_H2A_2020_00147,SPEAKER_01,13,667.2649,696.0249,28.76,10,108,22.6,6.16,9,0.6844,3.755,0.786,0.8450
VAL_H2A_2020_00147,SPEAKER_00,14,696.8939,698.1739,1.28,1,10,1.28,0.0,0,0.0,7.812,1.0,
VAL_H2A_2020_00147,SPEAKER_01,15,699.1549,699.6659,0.511,1,3,0.511,0.0,0,0.0,5.871,1.0,0.9770
VAL_H2A_2020_00147,SPEAKER_00,16,700.0259,700.1359,0.11,1,1,0.11,0.0,0,0.0,9.091,1.0,
VAL_H2A_2020_00147,SPEAKER_01,17,701.3669,708.6089,7.242,3,19,2.5,4.742,2,2.371,2.624,0.345,0.4580
VAL_H2A_2020_00147,SPEAKER_00,18,711.0829,717.0729,5.99,3,19,5.09,0.9,2,0.45,3.172,0.85,
VAL_H2A_2020_00147,SPEAKER_01,19,718.5899,750.0009,31.411,8,126,26.733,4.678,7,0.6683,4.011,0.851,0.8348
VAL_H2A_2020_00147,SPEAKER_00,20,751.2339,757.5779,6.344,3,27,5.114,1.23,2,0.615,4.256,0.806,
VAL_H2A_2020_00147,SPEAKER_01,21,758.0989,784.1459,26.047,7,116,21.149,4.898,6,0.8163,4.453,0.812,0.7831
VAL_H2A_2020_00147,SPEAKER_00,22,784.7659,787.1879,2.422,1,12,2.422,0.0,0,0.0,4.955,1.0,
VAL_H2A_2020_00147,SPEAKER_01,23,787.8479,838.7589,50.911,17,200,37.199,13.712,16,0.857,3.928,0.731,0.7433
VAL_H2A_2020_00147,SPEAKER_00,24,839.3109,845.8529,6.542,2,32,5.902,0.64,1,0.64,4.891,0.902,
VAL_H2A_2020_00147,SPEAKER_01,25,846.5539,872.0729,25.519,11,99,19.89,5.629,10,0.5629,3.879,0.779,0.7707
VAL_H2A_2020_00147,SPEAKER_00,26,873.7109,877.3729,3.662,1,18,3.662,0.0,0,0.0,4.915,1.0,
VAL_H2A_2020_00147,SPEAKER_01,27,877.5729,878.6029,1.03,2,3,0.75,0.28,1,0.28,2.913,0.728,0.6110
VAL_H2A_2020_00147,SPEAKER_00,28,879.5139,888.6199,9.106,4,34,5.733,3.373,3,1.1243,3.734,0.63,
VAL_H2A_2020_00147,SPEAKER_01,29,892.6219,959.6459,67.024,27,298,52.179,14.845,26,0.571,4.446,0.779,0.8205
VAL_H2A_2020_00147,SPEAKER_00,30,960.1569,964.7119,4.555,2,21,3.952,0.603,1,0.603,4.61,0.868,
VAL_H2A_2020_00147,SPEAKER_01,31,964.7629,966.2729,1.51,1,13,1.51,0.0,0,0.0,8.609,1.0,0.6886
VAL_H2A_2020_007,SPEAKER_01,1,674.2851,713.0531,38.768,14,181,32.676,6.092,13,0.4686,4.669,0.843,0.7267
VAL_H2A_2020_007,SPEAKER_00,2,717.0501,720.5201,3.47,1,25,3.47,0.0,0,0.0,7.205,1.0,
VAL_H2A_2020_007,SPEAKER_01,3,720.8511,879.2821,158.431,57,741,123.1,35.331,56,0.6309,4.677,0.777,0.7617
VAL_H2A_2020_007,SPEAKER_00,4,881.7221,892.5271,10.805,5,36,6.576,4.229,4,1.0573,3.332,0.609,
VAL_H2A_2020_007,SPEAKER_01,5,892.5971,1039.1681,146.571,48,689,117.243,29.328,47,0.624,4.701,0.8,0.7488
VAL_H2A_2020_007,SPEAKER_00,6,1041.8871,1044.5381,2.651,2,19,2.16,0.491,1,0.491,7.167,0.815,
VAL_H2A_2020_007,SPEAKER_01,7,1045.1081,1069.5421,24.434,10,133,20.58,3.854,9,0.4282,5.443,0.842,0.7968
VAL_H2A_2020_007,SPEAKER_00,8,1071.1401,1076.2151,5.075,1,33,5.075,0.0,0,0.0,6.502,1.0,
VAL_H2A_2020_007,SPEAKER_01,9,1078.1971,1166.6951,88.498,30,412,67.416,21.082,29,0.727,4.655,0.762,0.8040
VAL_H2A_2020_007,SPEAKER_00,10,1168.9231,1173.8041,4.881,2,29,4.131,0.75,1,0.75,5.941,0.846,
VAL_H2A_2020_007,SPEAKER_01,11,1187.4811,1279.7551,92.274,32,369,74.99,17.284,31,0.5575,3.999,0.813,0.8283
VAL_H2A_2020_007,SPEAKER_00,12,1281.2361,1289.5281,8.292,3,44,7.21,1.082,2,0.541,5.306,0.87,
VAL_H2A_2020_007,SPEAKER_01,13,1290.6221,1344.1651,53.543,21,232,36.353,17.19,20,0.8595,4.333,0.679,0.8540
VAL_H2A_2020_007,SPEAKER_00,14,1344.8251,1345.7711,0.946,1,10,0.946,0.0,0,0.0,10.571,1.0,
VAL_H2A_2023_00384,SPEAKER_01,1,495.0816,520.4126,25.331,8,93,19.301,6.03,7,0.8614,3.671,0.762,0.8615
VAL_H2A_2023_00384,SPEAKER_00,2,522.2776,526.5476,4.27,2,17,3.91,0.36,1,0.36,3.981,0.916,
VAL_H2A_2023_00384,SPEAKER_01,3,528.8696,565.4956,36.626,16,152,27.286,9.34,15,0.6227,4.15,0.745,0.8241
VAL_H2A_2023_00384,SPEAKER_00,4,565.7656,568.5156,2.75,1,19,2.75,0.0,0,0.0,6.909,1.0,
VAL_H2A_2023_00384,SPEAKER_01,5,568.8266,579.5496,10.723,5,51,7.812,2.911,4,0.7278,4.756,0.729,0.7394
VAL_H2A_2023_00384,SPEAKER_00,6,581.6556,584.1956,2.54,1,17,2.54,0.0,0,0.0,6.693,1.0,
VAL_H2A_2023_00384,SPEAKER_01,7,585.2076,610.6916,25.484,10,118,19.566,5.918,9,0.6576,4.63,0.768,0.8054
VAL_H2A_2023_00384,SPEAKER_00,8,611.7026,618.1366,6.434,1,42,6.434,0.0,0,0.0,6.528,1.0,
VAL_H2A_2023_00384,SPEAKER_01,9,619.1716,653.8236,34.652,10,148,24.465,10.187,9,1.1319,4.271,0.706,0.8087
VAL_H2A_2023_00384,SPEAKER_00,10,654.9516,659.1816,4.23,2,24,3.87,0.36,1,0.36,5.674,0.915,
VAL_H2A_2023_00384,SPEAKER_01,11,660.7456,665.7986,5.053,1,33,5.053,0.0,0,0.0,6.531,1.0,0.6748
VAL_H2A_2023_00384,SPEAKER_00,12,665.8186,667.4586,1.64,1,12,1.64,0.0,0,0.0,7.317,1.0,
VAL_H2A_2023_00384,SPEAKER_01,13,668.8806,714.4306,45.55,16,236,34.605,10.945,15,0.7297,5.181,0.76,0.7806
VAL_H2A_2023_00384,SPEAKER_00,14,715.6916,720.1416,4.45,2,22,3.77,0.68,1,0.68,4.944,0.847,
VAL_H2A_2023_00384,SPEAKER_01,15,722.7546,724.7546,2.0,2,11,1.56,0.44,1,0.44,5.5,0.78,0.7548
VAL_H2A_2023_00384,SPEAKER_00,16,725.4756,735.9766,10.501,4,18,4.1,6.401,3,2.1337,1.714,0.39,
VAL_H2A_2023_00384,SPEAKER_01,17,737.3286,751.0026,13.674,7,61,9.35,4.324,6,0.7207,4.461,0.684,0.7687
VAL_H2A_2023_00384,SPEAKER_00,18,752.2156,753.2856,1.07,1,8,1.07,0.0,0,0.0,7.477,1.0,
VAL_H2A_2023_00384,SPEAKER_01,19,753.7766,763.1226,9.346,4,58,7.442,1.904,3,0.6347,6.206,0.796,0.7343
VAL_H2A_2023_00384,SPEAKER_00,20,763.9036,768.8336,4.93,3,23,3.95,0.98,2,0.49,4.665,0.801,
VAL_H2A_2023_00384,SPEAKER_01,21,771.1276,809.9526,38.825,12,211,31.122,7.703,11,0.7003,5.435,0.802,0.8042
VAL_H2A_2023_00384,SPEAKER_00,22,811.1126,813.9926,2.88,2,15,2.31,0.57,1,0.57,5.208,0.802,
VAL_H2A_2023_00384,SPEAKER_01,23,815.3976,817.9996,2.602,2,13,2.082,0.52,1,0.52,4.996,0.8,0.8331
VAL_H2A_2023_00384,SPEAKER_00,24,819.7216,820.4316,0.71,1,4,0.71,0.0,0,0.0,5.634,1.0,
VAL_H2A_2023_00384,SPEAKER_01,25,820.9626,855.5676,34.605,12,147,25.083,9.522,11,0.8656,4.248,0.725,0.7789
VAL_H2A_2023_00384,SPEAKER_00,26,856.9796,858.9896,2.01,1,13,2.01,0.0,0,0.0,6.468,1.0,
VAL_H2A_2023_00384,SPEAKER_01,27,860.4436,862.8046,2.361,3,9,1.521,0.84,2,0.42,3.812,0.644,0.8090
VAL_H2A_2023_00384,SPEAKER_00,28,863.2656,864.6876,1.422,1,9,1.422,0.0,0,0.0,6.329,1.0,
VAL_H2A_2023_00384,SPEAKER_01,29,865.6686,905.6236,39.955,14,198,29.661,10.294,13,0.7918,4.956,0.742,0.7601
VAL_H2A_2023_00384,SPEAKER_00,30,907.4166,910.7866,3.37,1,15,3.37,0.0,0,0.0,4.451,1.0,
VAL_H2A_2023_00384,SPEAKER_01,31,912.6756,956.0726,43.397,16,194,33.527,9.87,15,0.658,4.47,0.773,0.8148
VAL_H2A_2023_00384,SPEAKER_00,32,957.8736,962.9586,5.085,2,27,4.415,0.67,1,0.67,5.31,0.868,
VAL_H2A_2023_00384,SPEAKER_01,33,963.9526,984.8986,20.946,5,114,18.271,2.675,4,0.6687,5.443,0.872,0.8377
VAL_H2A_2023_00384,SPEAKER_00,34,985.9886,988.1686,2.18,1,13,2.18,0.0,0,0.0,5.963,1.0,
VAL_H2A_2024_00435,SPEAKER_01,1,520.7151,612.0331,91.318,38,360,59.683,31.635,37,0.855,3.942,0.654,0.7340
VAL_H2A_2024_00435,SPEAKER_00,2,615.5931,618.3731,2.78,2,17,2.05,0.73,1,0.73,6.115,0.737,
VAL_H2A_2024_00435,SPEAKER_01,3,619.5181,675.4831,55.965,25,245,38.2231,17.7419,24,0.7392,4.378,0.683,0.7124
VAL_H2A_2024_00435,SPEAKER_00,4,677.8281,679.3981,1.57,1,12,1.57,0.0,0,0.0,7.643,1.0,
VAL_H2A_2024_00435,SPEAKER_01,5,680.5621,810.9081,130.346,46,461,78.109,52.237,45,1.1608,3.537,0.599,0.7274
VAL_H2A_2024_00435,SPEAKER_00,6,815.2111,819.7211,4.51,1,30,4.51,0.0,0,0.0,6.652,1.0,
VAL_H2A_2024_00435,SPEAKER_01,7,820.7531,927.5561,106.803,41,481,69.028,37.775,40,0.9444,4.504,0.646,0.7986
VAL_H2A_2024_00435,SPEAKER_00,8,930.1161,933.3661,3.25,2,15,2.9,0.35,1,0.35,4.615,0.892,
VAL_H2A_2024_00435,SPEAKER_01,9,935.0841,1036.63,101.5459,39,447,62.3288,39.2171,38,1.032,4.402,0.614,0.7408
VAL_H2B_2020_00119,SPEAKER_00,1,494.3046,616.2026,121.898,45,519,83.808,38.09,44,0.8657,4.258,0.688,0.8092
VAL_H2B_2020_00119,SPEAKER_01,2,617.7566,620.2406,2.484,1,17,2.484,0.0,0,0.0,6.844,1.0,
VAL_H2B_2020_00119,SPEAKER_00,3,621.0026,628.4626,7.46,5,30,5.45,2.01,4,0.5025,4.021,0.731,0.8550
VAL_H2B_2020_00119,SPEAKER_01,4,628.7356,631.0996,2.364,1,18,2.364,0.0,0,0.0,7.614,1.0,
VAL_H2B_2020_00119,SPEAKER_00,5,631.5556,647.8856,16.33,6,58,11.968,4.362,5,0.8724,3.552,0.733,0.8587
VAL_H2B_2020_00119,SPEAKER_01,6,648.6866,651.3876,2.701,1,16,2.701,0.0,0,0.0,5.924,1.0,
VAL_H2B_2020_00119,SPEAKER_00,7,652.0086,778.4216,126.413,57,475,80.421,45.992,56,0.8213,3.758,0.636,0.8110
VAL_H2B_2020_00119,SPEAKER_01,8,780.5916,783.4916,2.9,1,16,2.9,0.0,0,0.0,5.517,1.0,
VAL_H2B_2020_00119,SPEAKER_00,9,783.5636,840.6096,57.046,26,221,39.104,17.942,25,0.7177,3.874,0.685,0.8030
VAL_H2B_2020_00119,SPEAKER_01,10,843.2866,845.3066,2.02,1,6,2.02,0.0,0,0.0,2.97,1.0,
VAL_H2B_2020_00119,SPEAKER_00,11,846.1676,942.8326,96.665,41,414,71.563,25.102,40,0.6276,4.283,0.74,0.8073
VAL_H2B_2020_00119,SPEAKER_01,12,944.5226,948.7126,4.19,1,22,4.19,0.0,0,0.0,5.251,1.0,
VAL_H2B_2020_00119,SPEAKER_00,13,949.1646,988.1066,38.942,16,155,26.494,12.448,15,0.8299,3.98,0.68,0.8151
VAL_H2B_2020_00156,SPEAKER_00,1,626.3946,640.8146,14.42,7,34,7.11,7.31,6,1.2183,2.358,0.493,
VAL_H2B_2020_00156,SPEAKER_01,2,642.3856,715.9096,73.524,26,331,49.8,23.724,25,0.949,4.502,0.677,0.5635
VAL_H2B_2020_00156,SPEAKER_00,3,716.2696,724.0566,7.787,6,24,4.931,2.856,5,0.5712,3.082,0.633,
VAL_H2B_2020_00156,SPEAKER_01,4,724.1366,729.0766,4.94,2,31,4.38,0.56,1,0.56,6.275,0.887,0.4013
VAL_H2B_2020_00156,SPEAKER_00,5,729.3416,730.0016,0.66,1,7,0.66,0.0,0,0.0,10.606,1.0,
VAL_H2B_2020_00156,SPEAKER_01,6,730.5226,743.9726,13.45,3,87,12.248,1.202,2,0.601,6.468,0.911,0.5208
VAL_H2B_2020_00156,SPEAKER_00,7,745.4926,751.5956,6.103,2,13,4.343,1.76,1,1.76,2.13,0.712,
VAL_H2B_2020_00156,SPEAKER_01,8,752.1756,759.5786,7.403,2,34,7.083,0.32,1,0.32,4.593,0.957,0.5864
VAL_H2B_2020_00156,SPEAKER_00,9,759.7986,760.1686,0.37,1,2,0.37,0.0,0,0.0,5.405,1.0,
VAL_H2B_2020_00156,SPEAKER_01,10,760.7896,771.2216,10.432,4,33,6.595,3.837,3,1.279,3.163,0.632,0.6643
VAL_H2B_2020_00156,SPEAKER_00,11,771.2416,773.8226,2.581,2,16,2.2,0.381,1,0.381,6.199,0.852,
VAL_H2B_2020_00156,SPEAKER_01,12,776.2246,864.6056,88.381,37,332,57.664,30.717,36,0.8532,3.756,0.652,0.6165
VAL_H2B_2020_00156,SPEAKER_00,13,865.5576,865.9876,0.43,1,5,0.43,0.0,0,0.0,11.628,1.0,
VAL_H2B_2020_00156,SPEAKER_01,14,866.0386,867.3396,1.301,2,12,1.051,0.25,1,0.25,9.224,0.808,0.4416
VAL_H2B_2020_00156,SPEAKER_00,15,869.0806,880.1576,11.077,6,37,5.672,5.405,5,1.081,3.34,0.512,
VAL_H2B_2020_00156,SPEAKER_01,16,881.1886,1016.8796,135.691,45,596,96.629,39.062,44,0.8878,4.392,0.712,0.5532
VAL_H2B_2020_00156,SPEAKER_00,17,1017.1006,1017.4406,0.34,1,3,0.34,0.0,0,0.0,8.824,1.0,
VAL_H2B_2020_00156,SPEAKER_01,18,1018.4986,1089.0616,70.563,25,385,54.42,16.143,24,0.6726,5.456,0.771,0.4890
VAL_H2B_2020_00156,SPEAKER_00,19,1091.5336,1093.4836,1.95,1,14,1.95,0.0,0,0.0,7.179,1.0,
VAL_H2B_2020_00156,SPEAKER_01,20,1093.9966,1197.0386,103.042,38,573,79.3169,23.7251,37,0.6412,5.561,0.77,0.4747
VAL_H2B_2020_00156,SPEAKER_00,21,1197.9086,1203.5516,5.643,3,20,3.663,1.98,2,0.99,3.544,0.649,
VAL_H2B_2020_00156,SPEAKER_01,22,1203.9326,1227.8596,23.927,10,125,16.053,7.874,9,0.8749,5.224,0.671,0.5998
VAL_H2B_2020_00156,SPEAKER_00,23,1228.0416,1229.1816,1.14,1,8,1.14,0.0,0,0.0,7.018,1.0,
VAL_H2B_2020_00156,SPEAKER_01,24,1229.3516,1249.7676,20.416,10,76,15.608,4.808,9,0.5342,3.723,0.764,0.6731
VAL_H2B_2020_008,SPEAKER_00,1,502.2236,583.0086,80.785,36,292,50.6371,30.1479,35,0.8614,3.615,0.627,0.7394
VAL_H2B_2020_008,SPEAKER_01,2,584.6356,589.1986,4.563,2,23,4.283,0.28,1,0.28,5.041,0.939,
VAL_H2B_2020_008,SPEAKER_00,3,589.2386,694.9976,105.759,41,399,70.686,35.073,40,0.8768,3.773,0.668,0.7547
VAL_H2B_2020_008,SPEAKER_01,4,697.0996,709.3616,12.262,4,56,8.85,3.412,3,1.1373,4.567,0.722,
VAL_H2B_2020_008,SPEAKER_00,5,710.2776,847.9006,137.623,47,572,102.089,35.534,46,0.7725,4.156,0.742,0.7565
VAL_H2B_2020_008,SPEAKER_01,6,849.4846,856.7846,7.3,2,45,6.86,0.44,1,0.44,6.164,0.94,
VAL_H2B_2020_008,SPEAKER_00,7,857.7496,1001.8726,144.123,49,686,107.713,36.41,48,0.7585,4.76,0.747,0.7137
VAL_H2B_2021_0060,SPEAKER_01,1,382.4904,409.0774,26.587,13,133,19.831,6.756,12,0.563,5.002,0.746,0.7180
VAL_H2B_2021_0060,SPEAKER_00,2,409.1624,410.2424,1.08,1,3,1.08,0.0,0,0.0,2.778,1.0,
VAL_H2B_2021_0060,SPEAKER_01,3,410.9034,436.2154,25.312,12,101,16.311,9.001,11,0.8183,3.99,0.644,0.6645
VAL_H2B_2021_0060,SPEAKER_00,4,437.1164,439.0464,1.93,2,10,1.05,0.88,1,0.88,5.181,0.544,
VAL_H2B_2021_0060,SPEAKER_01,5,439.9674,463.5594,23.592,10,98,13.48,10.112,9,1.1236,4.154,0.571,0.6373
VAL_H2B_2021_0060,SPEAKER_00,6,464.3234,466.1134,1.79,2,14,1.49,0.3,1,0.3,7.821,0.832,
VAL_H2B_2021_0060,SPEAKER_01,7,471.1824,566.6754,95.493,30,556,79.368,16.125,29,0.556,5.822,0.831,0.6782
VAL_H2B_2021_0060,SPEAKER_00,8,566.7484,570.1904,3.442,3,18,1.9,1.542,2,0.771,5.23,0.552,
VAL_H2B_2021_0060,SPEAKER_01,9,571.3494,577.2834,5.934,3,25,5.033,0.901,2,0.4505,4.213,0.848,0.7728
VAL_H2B_2021_0060,SPEAKER_00,10,578.1944,579.8764,1.682,1,11,1.682,0.0,0,0.0,6.54,1.0,
VAL_H2B_2021_0060,SPEAKER_01,11,580.4764,590.8284,10.352,3,58,9.112,1.24,2,0.62,5.603,0.88,0.6660
VAL_H2B_2021_0060,SPEAKER_00,12,592.3444,594.0264,1.682,1,13,1.682,0.0,0,0.0,7.729,1.0,
VAL_H2B_2021_0060,SPEAKER_01,13,594.9274,604.0024,9.075,5,57,7.391,1.684,4,0.421,6.281,0.814,0.5386
VAL_H2B_2021_0060,SPEAKER_00,14,604.4924,610.9564,6.464,4,38,4.651,1.813,3,0.6043,5.879,0.72,
VAL_H2B_2021_0060,SPEAKER_01,15,611.9824,715.3954,103.413,34,608,84.282,19.131,33,0.5797,5.879,0.815,0.6800
VAL_H2B_2021_0060,SPEAKER_00,16,715.9554,719.2454,3.29,2,26,3.0,0.29,1,0.29,7.903,0.912,
VAL_H2B_2021_0060,SPEAKER_01,17,720.0194,742.5284,22.509,13,100,14.446,8.063,12,0.6719,4.443,0.642,0.6780
VAL_H2B_2021_0060,SPEAKER_00,18,743.2384,743.7384,0.5,1,5,0.5,0.0,0,0.0,10.0,1.0,
VAL_H2B_2021_0060,SPEAKER_01,19,743.8114,756.0314,12.22,4,89,10.568,1.652,3,0.5507,7.283,0.865,0.6621
VAL_H2B_2021_0060,SPEAKER_00,20,756.0724,759.6624,3.59,1,15,3.59,0.0,0,0.0,4.178,1.0,
VAL_H2B_2021_0060,SPEAKER_01,21,759.8384,761.0604,1.222,1,9,1.222,0.0,0,0.0,7.365,1.0,0.3519
VAL_H2B_2021_0060,SPEAKER_00,22,762.0224,763.7324,1.71,1,11,1.71,0.0,0,0.0,6.433,1.0,
VAL_H2B_2022_009,SPEAKER_01,1,677.564,722.508,44.944,16,216,33.28,11.664,15,0.7776,4.806,0.74,0.6984
VAL_H2B_2022_009,SPEAKER_00,2,722.92,725.77,2.85,1,16,2.85,0.0,0,0.0,5.614,1.0,
VAL_H2B_2022_009,SPEAKER_01,3,726.762,736.494,9.732,4,44,7.955,1.777,3,0.5923,4.521,0.817,0.7411
VAL_H2B_2022_009,SPEAKER_00,4,737.244,739.516,2.272,1,16,2.272,0.0,0,0.0,7.042,1.0,
VAL_H2B_2022_009,SPEAKER_01,5,739.536,769.911,30.375,10,154,23.429,6.946,9,0.7718,5.07,0.771,0.7208
VAL_H2B_2022_009,SPEAKER_00,6,770.712,772.972,2.26,1,17,2.26,0.0,0,0.0,7.522,1.0,
VAL_H2B_2022_009,SPEAKER_01,7,774.214,797.621,23.407,7,132,17.845,5.562,6,0.927,5.639,0.762,0.6251
VAL_H2B_2022_009,SPEAKER_00,8,798.092,802.943,4.851,3,26,3.271,1.58,2,0.79,5.36,0.674,
VAL_H2B_2022_009,SPEAKER_01,9,803.593,832.96,29.367,10,106,24.047,5.32,9,0.5911,3.609,0.819,0.7653
VAL_H2B_2022_009,SPEAKER_00,10,833.29,833.72,0.43,1,4,0.43,0.0,0,0.0,9.302,1.0,
VAL_H2B_2022_009,SPEAKER_01,11,834.942,870.708,35.766,18,138,22.396,13.37,17,0.7865,3.858,0.626,0.7345
VAL_H2B_2022_009,SPEAKER_00,12,871.535,875.375,3.84,3,26,3.16,0.68,2,0.34,6.771,0.823,
VAL_H2B_2022_009,SPEAKER_01,13,875.456,878.557,3.101,2,17,2.841,0.26,1,0.26,5.482,0.916,0.6381
VAL_H2B_2022_009,SPEAKER_00,14,879.437,880.147,0.71,1,7,0.71,0.0,0,0.0,9.859,1.0,
VAL_H2B_2022_009,SPEAKER_01,15,880.978,918.284,37.306,12,110,25.142,12.164,11,1.1058,2.949,0.674,0.7850
VAL_H2B_2022_009,SPEAKER_00,16,920.235,921.875,1.64,1,12,1.64,0.0,0,0.0,7.317,1.0,
VAL_H2B_2022_009,SPEAKER_01,17,922.017,958.5,36.483,11,204,27.923,8.56,10,0.856,5.592,0.765,0.6503
VAL_H2B_2022_009,SPEAKER_00,18,958.781,959.461,0.68,1,4,0.68,0.0,0,0.0,5.882,1.0,
VAL_H2B_2022_009,SPEAKER_01,19,959.751,992.616,32.865,9,151,24.709,8.156,8,1.0195,4.595,0.752,0.7017
VAL_H2B_2022_009,SPEAKER_00,20,993.296,994.436,1.14,1,11,1.14,0.0,0,0.0,9.649,1.0,
VAL_H2B_2022_009,SPEAKER_01,21,994.677,1022.824,28.147,8,138,19.725,8.422,7,1.2031,4.903,0.701,0.7628
VAL_H2B_2022_009,SPEAKER_00,22,1022.844,1023.714,0.87,1,5,0.87,0.0,0,0.0,5.747,1.0,
VAL_H2B_2022_009,SPEAKER_01,23,1024.605,1035.831,11.226,4,45,5.462,5.764,3,1.9213,4.009,0.487,0.5465
VAL_H2B_2022_009,SPEAKER_00,24,1035.871,1036.171,0.3,1,0,0.3,0.0,0,0.0,0.0,1.0,
VAL_H2B_2022_009,SPEAKER_01,25,1036.631,1036.881,0.25,1,1,0.25,0.0,0,0.0,4.0,1.0,
VAL_H2B_2022_009,SPEAKER_00,26,1037.312,1037.752,0.44,1,0,0.44,0.0,0,0.0,0.0,1.0,
VAL_H2B_2022_009,SPEAKER_01,27,1038.67,1101.724,63.054,19,273,46.25,16.804,18,0.9336,4.33,0.733,0.7203
VAL_H2B_2022_009,SPEAKER_00,28,1102.366,1102.776,0.41,1,4,0.41,0.0,0,0.0,9.756,1.0,
VAL_H2B_2022_009,SPEAKER_01,29,1103.047,1119.409,16.362,4,100,13.178,3.184,3,1.0613,6.112,0.805,0.6424
VAL_H2B_2022_009,SPEAKER_00,30,1122.53,1125.01,2.48,1,17,2.48,0.0,0,0.0,6.855,1.0,
VAL_H2B_2022_009,SPEAKER_01,31,1125.183,1125.763,0.58,1,6,0.58,0.0,0,0.0,10.345,1.0,0.4723
VAL_H2B_2022_009,SPEAKER_00,32,1125.924,1126.164,0.24,1,1,0.24,0.0,0,0.0,4.167,1.0,
VAL_H2B_2022_009,SPEAKER_01,33,1126.244,1141.995,15.751,6,91,12.284,3.467,5,0.6934,5.777,0.78,0.6088
VAL_H2B_2022_009,SPEAKER_00,34,1143.106,1143.606,0.5,1,7,0.5,0.0,0,0.0,14.0,1.0,
