file,speaker,turn_id,turn_start,turn_end,turn_duration_s,n_ips,n_vowels,speech_time_s,pause_time_s,n_pauses,mean_pause_s,speech_rate_vps,speaking_proportion,conf_median_ips
VAL_H1B_2003_00589,SPEAKER_00,10,483.1972,511.7442,28.547,9,139,20.585,7.962,8,0.9952,4.869,0.721,0.7135
VAL_H1B_2003_00589,SPEAKER_01,11,512.0102,513.4302,1.42,1,12,1.42,0.0,0,0.0,8.451,1.0,
VAL_H1B_2003_00589,SPEAKER_00,12,514.2522,516.7422,2.49,2,13,2.16,0.33,1,0.33,5.221,0.867,0.7370
VAL_H1B_2003_00589,SPEAKER_01,13,517.2832,518.4952,1.212,1,10,1.212,0.0,0,0.0,8.251,1.0,
VAL_H1B_2003_00589,SPEAKER_00,14,519.1552,531.8952,12.74,6,60,9.95,2.79,5,0.558,4.71,0.781,0.7053
VAL_H1B_2003_00589,SPEAKER_01,15,532.4502,533.6902,1.24,1,10,1.24,0.0,0,0.0,8.065,1.0,
VAL_H1B_2003_00589,SPEAKER_00,16,533.9112,534.1412,0.23,1,1,0.23,0.0,0,0.0,4.348,1.0,0.5270
VAL_H1B_2003_00589,SPEAKER_01,17,535.4122,539.6342,4.222,2,24,3.81,0.412,1,0.412,5.685,0.902,
VAL_H1B_2003_00589,SPEAKER_00,18,540.6162,629.8102,89.194,28,403,68.365,20.829,27,0.7714,4.518,0.766,0.7422
VAL_H1B_2003_00589,SPEAKER_01,19,630.4602,632.7902,2.33,1,17,2.33,0.0,0,0.0,7.296,1.0,
VAL_H1B_2003_00589,SPEAKER_00,20,633.4112,654.1972,20.786,9,72,15.353,5.433,8,0.6791,3.464,0.739,0.8948
VAL_H1B_2003_00589,SPEAKER_01,21,654.8002,656.8312,2.031,1,12,2.031,0.0,0,0.0,5.908,1.0,
VAL_H1B_2003_00589,SPEAKER_00,22,657.9922,676.2582,18.266,10,66,10.281,7.985,9,0.8872,3.613,0.563,0.7473
VAL_H1B_2003_00589,SPEAKER_01,23,676.5782,679.1482,2.57,1,15,2.57,0.0,0,0.0,5.837,1.0,
VAL_H1B_2003_00589,SPEAKER_00,24,679.8792,711.3152,31.436,13,130,22.789,8.647,12,0.7206,4.135,0.725,0.7946
VAL_H1B_2003_00589,SPEAKER_01,25,711.8352,713.2452,1.41,1,6,1.41,0.0,0,0.0,4.255,1.0,
VAL_H1B_2003_00589,SPEAKER_00,26,713.7972,714.6372,0.84,1,7,0.84,0.0,0,0.0,8.333,1.0,0.5630
VAL_H1B_2003_00589,SPEAKER_01,27,715.5382,716.3982,0.86,1,7,0.86,0.0,0,0.0,8.14,1.0,
VAL_H1B_2003_00589,SPEAKER_00,28,717.6402,741.2352,23.595,9,101,17.729,5.866,8,0.7333,4.281,0.751,0.7631
VAL_H1B_2003_00589,SPEAKER_01,29,741.5202,744.1702,2.65,2,9,1.21,1.44,1,1.44,3.396,0.457,
VAL_H1B_2003_00589,SPEAKER_00,30,745.1612,745.9712,0.81,1,6,0.81,0.0,0,0.0,7.407,1.0,0.9148
VAL_H1B_2003_00589,SPEAKER_01,31,746.4522,747.1822,0.73,1,5,0.73,0.0,0,0.0,6.849,1.0,
VAL_H1B_2003_00589,SPEAKER_00,32,747.4022,748.8632,1.461,2,5,0.801,0.66,1,0.66,3.422,0.548,0.7295
VAL_H1B_2003_00589,SPEAKER_01,33,749.0432,750.8242,1.781,1,11,1.781,0.0,0,0.0,6.176,1.0,
VAL_H1B_2003_00589,SPEAKER_00,34,751.0442,751.5942,0.55,1,4,0.55,0.0,0,0.0,7.273,1.0,0.5827
VAL_H1B_2003_00589,SPEAKER_01,35,752.0342,752.2542,0.22,1,1,0.22,0.0,0,0.0,4.545,1.0,
VAL_H1B_2003_00589,SPEAKER_00,36,753.1252,757.9372,4.812,2,16,3.441,1.371,1,1.371,3.325,0.715,0.6722
VAL_H1B_2003_00589,SPEAKER_01,37,758.1502,761.4802,3.33,2,16,2.81,0.52,1,0.52,4.805,0.844,
VAL_H1B_2003_00589,SPEAKER_00,38,762.2572,780.1192,17.862,6,64,12.829,5.033,5,1.0066,3.583,0.718,0.8014
VAL_H1B_2019_00183,SPEAKER_00,1,415.1471,483.0131,67.866,24,326,54.196,13.67,23,0.5943,4.804,0.799,0.8273
VAL_H1B_2019_00183,SPEAKER_01,2,483.7331,485.1331,1.4,1,12,1.4,0.0,0,0.0,8.571,1.0,
VAL_H1B_2019_00183,SPEAKER_00,3,485.7741,508.6931,22.919,7,141,20.215,2.704,6,0.4507,6.152,0.882,0.7690
VAL_H1B_2019_00183,SPEAKER_01,4,509.7331,511.3831,1.65,1,15,1.65,0.0,0,0.0,9.091,1.0,
VAL_H1B_2019_00183,SPEAKER_00,5,512.1951,530.3531,18.158,4,87,15.375,2.783,3,0.9277,4.791,0.847,0.8189
VAL_H1B_2019_00183,SPEAKER_01,6,531.6731,542.5751,10.902,4,43,8.23,2.672,3,0.8907,3.944,0.755,
VAL_H1B_2019_00183,SPEAKER_00,7,543.5761,560.5251,16.949,4,85,14.511,2.438,3,0.8127,5.015,0.856,0.8190
VAL_H1B_2019_00183,SPEAKER_01,8,563.7191,567.3521,3.633,1,19,3.633,0.0,0,0.0,5.23,1.0,
VAL_H1B_2019_00183,SPEAKER_00,9,568.6031,596.8811,28.278,10,120,23.019,5.259,9,0.5843,4.244,0.814,0.8430
VAL_H1B_2019_00183,SPEAKER_01,10,598.3631,608.1321,9.769,4,49,8.219,1.55,3,0.5167,5.016,0.841,
VAL_H1B_2019_00183,SPEAKER_00,11,609.0821,641.1591,32.077,9,168,27.04,5.037,8,0.6296,5.237,0.843,0.8336
VAL_H1B_2019_00183,SPEAKER_01,12,642.0401,643.7201,1.68,1,9,1.68,0.0,0,0.0,5.357,1.0,
VAL_H1B_2019_00183,SPEAKER_00,13,644.8911,677.5871,32.696,11,156,26.358,6.338,10,0.6338,4.771,0.806,0.8563
VAL_H1B_2019_00183,SPEAKER_01,14,679.5771,687.0291,7.452,2,40,7.081,0.371,1,0.371,5.368,0.95,
VAL_H1B_2019_00183,SPEAKER_00,15,687.4701,705.6231,18.153,9,63,12.48,5.673,8,0.7091,3.471,0.687,0.8865
VAL_H1B_2019_00183,SPEAKER_01,16,706.3971,710.8491,4.452,2,28,3.232,1.22,1,1.22,6.289,0.726,
VAL_H1B_2019_00183,SPEAKER_00,17,711.3991,731.5881,20.189,7,85,15.663,4.526,6,0.7543,4.21,0.776,0.8055
VAL_H1B_2019_00183,SPEAKER_01,18,738.7001,756.3551,17.655,5,80,13.783,3.872,4,0.968,4.531,0.781,
VAL_H1B_2019_00183,SPEAKER_00,19,757.7851,778.7461,20.961,7,96,17.397,3.564,6,0.594,4.58,0.83,0.7407
VAL_H1B_2019_00183,SPEAKER_01,20,779.8661,780.8261,0.96,1,9,0.96,0.0,0,0.0,9.375,1.0,
VAL_H1B_2019_00183,SPEAKER_00,21,781.8881,794.7761,12.888,5,67,10.894,1.994,4,0.4985,5.199,0.845,0.8175
VAL_H1B_2019_00183,SPEAKER_01,22,796.9261,798.0661,1.14,1,10,1.14,0.0,0,0.0,8.772,1.0,
VAL_H1B_2019_00183,SPEAKER_00,23,799.1391,814.1311,14.992,5,68,11.588,3.404,4,0.851,4.536,0.773,0.8682
VAL_H1B_2019_00183,SPEAKER_01,24,815.7221,823.1271,7.405,2,41,7.085,0.32,1,0.32,5.537,0.957,
VAL_H1B_2020_00114,SPEAKER_00,1,515.3888,559.6228,44.234,17,156,31.902,12.332,16,0.7708,3.527,0.721,0.7915
VAL_H1B_2020_00114,SPEAKER_01,2,561.5328,564.3628,2.83,2,16,2.56,0.27,1,0.27,5.654,0.905,
VAL_H1B_2020_00114,SPEAKER_00,3,565.6338,568.2848,2.651,2,15,1.811,0.84,1,0.84,5.658,0.683,0.6590
VAL_H1B_2020_00114,SPEAKER_01,4,569.0948,570.5848,1.49,1,10,1.49,0.0,0,0.0,6.711,1.0,
VAL_H1B_2020_00114,SPEAKER_00,5,572.4158,573.4258,1.01,1,8,1.01,0.0,0,0.0,7.921,1.0,0.7038
VAL_H1B_2020_00114,SPEAKER_01,6,575.0098,577.3498,2.34,1,15,2.34,0.0,0,0.0,6.41,1.0,
VAL_H1B_2020_00114,SPEAKER_00,7,579.4418,594.3268,14.885,6,58,8.351,6.534,5,1.3068,3.897,0.561,0.8355
VAL_H1B_2020_00114,SPEAKER_01,8,595.2668,597.8268,2.56,1,16,2.56,0.0,0,0.0,6.25,1.0,
VAL_H1B_2020_00114,SPEAKER_00,9,599.2288,611.0378,11.809,5,44,6.76,5.049,4,1.2622,3.726,0.572,0.8000
VAL_H1B_2020_00114,SPEAKER_01,10,613.3898,628.8738,15.484,6,50,13.07,2.414,5,0.4828,3.229,0.844,
VAL_H1B_2020_00114,SPEAKER_00,11,629.7998,670.7598,40.96,17,157,28.947,12.013,16,0.7508,3.833,0.707,0.7518
VAL_H1B_2020_00114,SPEAKER_01,12,674.9698,693.7098,18.74,6,74,16.08,2.66,5,0.532,3.949,0.858,
VAL_H1B_2020_00114,SPEAKER_00,13,694.5918,716.9338,22.342,9,82,13.35,8.992,8,1.124,3.67,0.598,0.6608
