file,speaker,n_ips,n_turns,n_vowels_total,art_rate_median,art_rate_mean,art_rate_sd,sylls_per_ip_median,syl_slope,speech_time_s,pause_time_s,total_duration_s,n_pauses,pause_median_ms,pause_mean_ms,pause_sd_ms,log_pause_median_ms,pauses_per_100_vowels,overall_art_rate,overall_spk_rate,pitch_range_median,pitch_range_mean,pitch_range_sd,pitch_level_median
VAL_M2B_2019_0015,SPEAKER_00,3,3,41,7.109,7.462,1.719,15.0,4.0,6.25,0.0,6.25,0,,,,,0.0,6.56,6.56,4.174,4.174,0.525,93.108
VAL_M2B_2019_0015,SPEAKER_01,175,4,1792,5.343,5.328,1.644,8.0,0.0132,333.745,158.416,492.161,171,781.0,926.409,566.837,6.661,9.54,5.369,3.641,4.485,4.869,1.996,86.847
VAL_M2B_2019_00180,SPEAKER_00,159,6,2391,6.378,6.167,2.026,14.0,0.031,380.266,110.956,491.222,153,590.0,725.203,567.936,6.38,6.4,6.288,4.867,4.371,4.661,2.187,89.151
VAL_M2B_2019_00180,SPEAKER_01,10,5,76,4.617,5.249,2.204,6.5,-0.3636,15.72,2.96,18.68,5,610.0,592.0,250.472,6.413,6.58,4.835,4.069,,,,
VAL_M2B_2020_00120,SPEAKER_00,96,37,570,6.91,6.921,2.867,5.0,0.0077,85.078,64.705,149.783,59,891.0,1096.695,831.717,6.792,10.35,6.7,3.806,5.21,6.234,4.937,85.774
VAL_M2B_2020_00120,SPEAKER_01,110,38,931,6.81,6.71,2.968,6.5,0.0207,157.87,99.577,257.447,72,801.0,1383.014,1251.463,6.686,7.73,5.897,3.616,4.207,4.336,1.948,82.866
VAL_M2B_2020_00120,UNKNOWN,2,2,4,18.334,18.334,1.666,2.0,,0.22,0.0,0.22,0,,,,,0.0,18.182,18.182,,,,
VAL_M2B_2020_00122,SPEAKER_00,14,13,155,6.52,6.208,0.911,10.0,-0.0549,25.422,0.391,25.813,1,391.0,391.0,0.0,5.969,0.65,6.097,6.005,13.147,9.981,5.683,88.632
VAL_M2B_2020_00122,SPEAKER_01,111,14,848,5.161,5.07,1.649,7.0,0.0105,165.9,133.789,299.689,97,1090.0,1379.268,987.421,6.994,11.44,5.112,2.83,3.171,5.185,4.331,90.057
VAL_M2B_2020_00168,SPEAKER_00,169,17,1533,5.386,5.506,2.38,8.0,0.0115,293.947,137.941,431.888,152,745.0,907.507,704.095,6.613,9.92,5.215,3.55,5.572,5.842,2.594,88.34
VAL_M2B_2020_00168,SPEAKER_01,40,16,548,6.61,6.627,2.272,10.0,-0.0627,80.672,20.486,101.158,24,657.0,853.583,528.422,6.488,4.38,6.793,5.417,4.132,4.014,1.401,85.228
VAL_M2B_2021_0072,SPEAKER_00,23,6,312,5.143,5.737,3.166,11.0,-0.0128,59.151,14.014,73.165,17,520.0,824.353,739.703,6.254,5.45,5.275,4.264,4.744,4.967,1.319,92.463
VAL_M2B_2021_0072,SPEAKER_01,126,7,1568,6.233,5.979,1.874,11.0,0.0142,266.204,96.062,362.266,119,700.0,807.243,463.378,6.551,7.59,5.89,4.328,5.504,5.65,2.12,89.725
VAL_M2B_2022_0081,SPEAKER_00,23,8,208,4.839,5.292,2.076,7.0,-0.2026,43.612,8.203,51.815,15,540.0,546.867,228.682,6.292,7.21,4.769,4.014,3.68,3.886,1.787,89.865
VAL_M2B_2022_0081,SPEAKER_01,156,9,2678,6.486,6.298,1.808,14.0,-0.0044,432.383,93.74,526.123,147,520.0,637.688,424.9,6.254,5.49,6.194,5.09,4.574,5.021,2.0,89.047
VAL_M2B_2026_00623,SPEAKER_00,6,5,109,6.011,5.782,1.485,24.0,-0.4286,18.937,0.5,19.437,1,500.0,500.0,0.0,6.215,0.92,5.756,5.608,5.267,4.797,1.363,95.638
VAL_M2B_2026_00623,SPEAKER_01,188,6,2396,6.278,6.401,2.023,10.0,0.0027,395.745,139.691,535.436,182,631.0,767.532,457.706,6.447,7.6,6.054,4.475,5.835,6.124,2.62,96.874
VAL_M2B_2026_00624,SPEAKER_00,16,8,193,6.473,7.23,1.649,11.5,0.9426,28.581,6.09,34.671,8,675.0,761.25,387.216,6.515,4.15,6.753,5.567,2.926,3.019,1.279,91.598
VAL_M2B_2026_00624,SPEAKER_01,228,9,2573,6.312,6.34,1.788,10.0,0.0027,418.63,160.888,579.518,219,620.0,734.649,466.531,6.43,8.51,6.146,4.44,4.141,4.744,2.612,91.804
VAL_M2B_2026_00627,SPEAKER_00,33,6,454,5.038,5.25,1.767,12.0,0.0324,91.839,15.526,107.365,27,451.0,575.037,346.411,6.111,5.95,4.943,4.229,3.709,4.002,1.409,94.138
VAL_M2B_2026_00627,SPEAKER_01,167,7,1584,5.097,5.064,1.814,8.0,-0.001,308.412,127.06,435.472,160,710.0,794.125,435.194,6.565,10.1,5.136,3.637,5.633,5.814,2.132,89.231
VAL_M2M_2019_00191,SPEAKER_00,31,9,325,6.186,6.164,2.131,9.0,0.0528,52.766,19.454,72.22,22,660.0,884.273,682.172,6.492,6.77,6.159,4.5,4.601,5.29,3.397,91.196
VAL_M2M_2019_00191,SPEAKER_01,170,10,2329,5.85,5.753,2.105,12.0,-0.01,396.378,131.95,528.328,160,684.5,824.688,596.171,6.529,6.87,5.876,4.408,3.802,3.997,2.778,88.809
VAL_M2M_2019_00212,SPEAKER_00,20,8,173,4.471,4.835,1.508,7.5,0.0203,40.153,12.606,52.759,12,770.0,1050.5,822.673,6.646,6.94,4.309,3.279,3.062,3.187,1.305,90.865
VAL_M2M_2019_00212,SPEAKER_01,259,9,3571,5.479,5.278,1.594,11.0,-0.005,671.712,207.479,879.191,250,665.0,829.916,597.213,6.5,7.0,5.316,4.062,5.191,5.418,2.463,87.693
VAL_M2M_2020_0016,SPEAKER_00,12,3,307,6.726,6.447,1.191,23.5,3.5909,48.105,4.835,52.94,9,470.0,537.222,173.799,6.153,2.93,6.382,5.799,3.983,3.916,0.784,93.526
VAL_M2M_2020_0016,SPEAKER_01,163,4,3250,6.699,6.578,1.654,18.0,-0.0019,486.536,78.69,565.226,159,400.0,494.905,250.051,5.991,4.89,6.68,5.75,4.508,4.693,1.378,89.985
VAL_M2M_2021_0029,SPEAKER_00,163,28,1228,6.731,6.697,2.874,6.0,-0.0099,199.556,176.382,375.938,135,700.0,1306.533,3093.886,6.551,10.99,6.154,3.266,3.96,3.683,1.371,93.37
VAL_M2M_2021_0029,SPEAKER_01,42,26,509,7.01,7.909,3.12,10.0,0.0069,74.535,19.425,93.96,16,675.0,1214.062,1530.78,6.515,3.14,6.829,5.417,,,,
VAL_M2M_2021_0029,UNKNOWN,3,3,12,12.5,10.72,3.594,4.0,1.0,1.291,0.0,1.291,0,,,,,0.0,9.295,9.295,,,,
VAL_M2M_2021_0045,SPEAKER_00,24,11,181,7.813,7.407,2.026,5.0,0.0465,24.848,15.055,39.903,13,650.0,1158.077,1316.007,6.477,7.18,7.284,4.536,4.319,4.798,2.803,93.502
VAL_M2M_2021_0045,SPEAKER_01,168,11,1581,6.457,6.515,2.112,8.0,-0.0066,256.382,137.56,393.942,157,755.0,876.178,533.161,6.627,9.93,6.167,4.013,3.876,4.306,2.108,89.402
VAL_M2M_2022_0077,SPEAKER_00,22,9,314,4.998,5.201,1.817,15.0,0.4833,59.584,9.013,68.597,13,550.0,693.308,311.006,6.31,4.14,5.27,4.577,5.795,6.117,2.319,89.531
VAL_M2M_2022_0077,SPEAKER_01,170,10,2086,6.061,6.049,1.834,10.0,-0.0076,346.313,98.074,444.387,160,485.0,612.962,373.813,6.184,7.67,6.023,4.694,4.427,4.685,2.047,90.577
VAL_M2M_2022_0091,SPEAKER_00,13,5,148,8.547,8.512,3.073,9.0,-0.6374,19.072,12.367,31.439,8,1410.5,1545.862,848.56,7.252,5.41,7.76,4.708,6.173,5.782,1.91,82.754
VAL_M2M_2022_0091,SPEAKER_01,177,6,1788,7.051,7.008,2.121,8.0,0.014,264.722,228.498,493.22,171,1060.0,1336.246,1141.202,6.966,9.56,6.754,3.625,4.585,5.15,2.872,83.201
