file,speaker,n_ips,n_turns,n_vowels_total,art_rate_median,art_rate_mean,art_rate_sd,sylls_per_ip_median,syl_slope,speech_time_s,pause_time_s,total_duration_s,n_pauses,pause_median_ms,pause_mean_ms,pause_sd_ms,log_pause_median_ms,pauses_per_100_vowels,overall_art_rate,overall_spk_rate,pitch_range_median,pitch_range_mean,pitch_range_sd,pitch_level_median
VAL_M3B_2022_0080,SPEAKER_00,234,12,1599,5.739,5.722,2.398,6.0,-0.0049,296.665,194.768,491.433,222,695.5,877.333,583.133,6.545,13.88,5.39,3.254,5.245,6.481,3.722,88.737
VAL_M3B_2022_0080,SPEAKER_01,12,11,94,6.717,6.547,2.238,8.5,-0.1608,15.081,0.851,15.932,1,851.0,851.0,0.0,6.746,1.06,6.233,5.9,4.194,4.442,1.058,95.933
VAL_M3B_2022_0096,SPEAKER_00,125,30,1058,4.839,5.2,2.124,8.0,-0.0119,210.428,117.233,327.661,95,800.0,1234.032,1131.562,6.685,8.98,5.028,3.229,5.412,5.973,3.2,86.76
VAL_M3B_2022_0096,SPEAKER_01,78,31,629,6.207,6.142,2.425,5.0,-0.0433,106.715,38.572,145.287,47,590.0,820.681,687.643,6.38,7.47,5.894,4.329,3.706,4.177,2.709,80.303
VAL_M3B_2023_0017,SPEAKER_00,166,13,1426,6.336,6.296,1.779,7.0,0.0049,224.801,187.362,412.163,153,1040.0,1224.588,863.928,6.947,10.73,6.343,3.46,5.15,6.3,3.951,87.868
VAL_M3B_2023_0017,SPEAKER_01,28,13,203,7.014,6.844,1.895,6.5,-0.2504,29.224,9.289,38.513,15,410.0,619.267,418.51,6.016,7.39,6.946,5.271,3.655,4.11,2.06,80.076
VAL_M3B_2026_00642,SPEAKER_00,237,7,1850,6.608,6.677,2.246,7.0,-0.0155,294.53,233.983,528.513,230,770.5,1017.317,835.235,6.647,12.43,6.281,3.5,5.959,5.989,2.607,89.764
VAL_M3B_2026_00642,SPEAKER_01,8,6,91,4.992,5.609,2.379,13.5,0.7738,17.46,2.44,19.9,2,1220.0,1220.0,320.0,7.107,2.2,5.212,4.573,3.738,3.738,0.514,91.551
VAL_M3B_2026_00644,SPEAKER_00,122,16,1858,6.189,6.056,1.488,15.0,0.0256,309.562,57.145,366.707,106,462.5,539.104,306.571,6.137,5.71,6.002,5.067,4.923,5.084,1.722,92.927
VAL_M3B_2026_00644,SPEAKER_01,44,15,590,4.415,4.417,1.513,11.5,0.0507,120.349,22.003,142.352,29,540.0,758.724,550.935,6.292,4.92,4.902,4.145,4.731,4.511,1.459,93.73
VAL_M3M_2020_00129,SPEAKER_00,210,9,2490,5.675,5.767,2.04,10.0,-0.0071,430.959,157.241,588.2,201,650.0,782.293,636.128,6.477,8.07,5.778,4.233,5.644,5.584,2.413,86.608
VAL_M3M_2020_00129,SPEAKER_01,20,8,294,5.077,5.606,1.563,16.0,-0.209,51.845,10.215,62.06,12,540.5,851.25,634.183,6.292,4.08,5.671,4.737,5.787,5.743,2.172,92.059
VAL_M3M_2020_00139,SPEAKER_00,5,1,40,5.825,5.789,1.626,5.0,-3.1,7.821,2.625,10.446,4,670.5,656.25,107.495,6.508,10.0,5.114,3.829,6.942,6.942,0.272,94.675
VAL_M3M_2020_00139,SPEAKER_01,191,2,2277,6.122,6.2,1.517,9.0,-0.008,367.719,177.01,544.729,189,800.0,936.561,544.472,6.685,8.3,6.192,4.18,5.846,6.153,2.847,88.149
VAL_M3M_2020_00139,UNKNOWN,1,1,3,10.274,10.274,0.0,3.0,,0.292,0.0,0.292,0,,,,,0.0,10.274,10.274,,,,
VAL_M3M_2020_00161,SPEAKER_00,14,3,160,7.218,6.799,2.852,7.0,-1.6396,26.145,5.409,31.554,11,335.0,491.727,294.37,5.814,6.88,6.12,5.071,5.967,6.964,1.781,91.691
VAL_M3M_2020_00161,SPEAKER_01,181,3,2263,5.959,5.852,1.846,11.0,0.0078,383.602,135.362,518.964,178,625.5,760.461,517.287,6.439,7.87,5.899,4.361,6.029,6.521,2.294,91.189
VAL_M3M_2020_00161,UNKNOWN,1,1,0,0.0,0.0,0.0,0.0,,0.32,0.0,0.32,0,,,,,,0.0,0.0,,,,
VAL_M3M_2022_00107,SPEAKER_00,66,32,490,5.207,5.297,2.197,6.0,0.0635,95.666,20.493,116.159,34,455.0,602.735,365.42,6.12,6.94,5.122,4.218,5.359,5.331,2.559,89.696
VAL_M3M_2022_00107,SPEAKER_01,157,33,1932,6.569,6.622,2.197,11.0,-0.0069,317.078,92.596,409.674,124,602.5,746.741,557.539,6.401,6.42,6.093,4.716,5.165,5.273,2.174,88.309
VAL_M3M_2022_00109,SPEAKER_00,155,12,2102,6.413,6.576,1.886,11.0,0.0067,325.282,119.953,445.235,143,700.0,838.832,545.436,6.551,6.8,6.462,4.721,5.399,5.618,2.174,89.47
VAL_M3M_2022_00109,SPEAKER_01,17,11,191,7.136,6.759,2.204,12.0,-0.1324,26.383,4.922,31.305,6,755.0,820.333,353.855,6.627,3.14,7.24,6.101,3.848,4.243,1.812,95.222
VAL_M3M_2022_0085,SPEAKER_00,17,5,179,7.207,7.819,2.032,6.0,0.348,27.04,24.015,51.055,12,720.5,2001.25,3013.507,6.58,6.7,6.62,3.506,7.226,6.495,1.962,92.186
VAL_M3M_2022_0085,SPEAKER_01,122,7,1221,5.833,5.882,2.014,8.0,0.0271,207.726,128.731,336.457,115,954.0,1119.4,744.633,6.861,9.42,5.878,3.629,5.302,5.569,2.223,93.095
VAL_M3M_2022_0085,UNKNOWN,1,1,5,16.667,16.667,0.0,5.0,,0.3,0.0,0.3,0,,,,,0.0,16.667,16.667,,,,
VAL_M3M_2022_0092,SPEAKER_00,193,13,1318,4.861,5.102,2.376,5.0,0.0001,277.166,169.568,446.734,180,715.5,942.044,818.433,6.573,13.66,4.755,2.95,4.191,5.538,4.316,92.296
VAL_M3M_2022_0092,SPEAKER_01,39,10,385,6.306,5.953,1.758,8.0,0.1184,62.017,21.288,83.305,29,552.0,734.069,455.395,6.314,7.53,6.208,4.622,4.205,5.747,4.293,93.525
VAL_M3M_2022_0092,UNKNOWN,10,5,74,5.668,6.032,1.966,7.0,-0.1091,12.73,4.526,17.256,5,832.0,905.2,493.269,6.724,6.76,5.813,4.288,2.702,2.702,0.0,100.747
VAL_M3M_2026_00639,SPEAKER_00,145,8,1898,4.899,4.938,1.623,11.0,0.037,402.299,106.378,508.677,137,650.0,776.481,494.747,6.477,7.22,4.718,3.731,5.4,5.852,2.717,86.486
VAL_M3M_2026_00639,SPEAKER_01,26,7,340,4.8,4.713,1.702,7.5,0.1477,72.582,12.215,84.797,19,460.0,642.895,435.225,6.131,5.59,4.684,4.01,4.037,4.164,1.026,94.834
VAL_M3M_2026_00640,SPEAKER_00,165,17,1598,5.814,5.752,2.499,8.0,0.007,285.478,114.916,400.394,148,615.5,776.459,540.412,6.422,9.26,5.598,3.991,6.153,6.763,3.223,89.636
VAL_M3M_2026_00640,SPEAKER_01,25,16,235,6.378,6.327,1.728,6.0,0.1462,38.844,9.093,47.937,9,821.0,1010.333,637.952,6.711,3.83,6.05,4.902,6.974,8.434,4.62,92.624
VAL_M3M_2026_00643,SPEAKER_00,18,16,231,5.951,5.702,1.627,10.5,0.1373,41.515,2.821,44.336,2,1410.5,1410.5,430.5,7.252,0.87,5.564,5.21,3.598,4.799,3.421,93.286
VAL_M3M_2026_00643,SPEAKER_01,139,17,1399,4.95,4.972,1.98,8.0,0.025,281.706,145.268,426.974,122,985.5,1190.721,887.662,6.893,8.72,4.966,3.277,6.143,6.21,2.438,88.42
